iter	Passed	Remaining
404	8014	11773
405	8041	11765
406	8061	11746
407	8078	11722
408	8098	11702
409	8115	11677
410	8136	11660
411	8154	11637
412	8172	11616
413	8195	11600
414	8211	11575
415	8231	11555
416	8247	11530
417	8265	11509
418	8284	11487
419	8302	11465
420	8326	11450
421	8345	11430
422	8361	11406
423	8383	11388
424	8400	11365
425	8416	11340
426	8435	11320
427	8452	11296
428	8469	11273
429	8489	11254
430	8507	11230
431	8527	11211
432	8543	11187
433	8560	11164
434	8583	11148
435	8600	11124
436	8618	11103
437	8633	11077
438	8649	11053
439	8668	11033
440	8687	11011
441	8709	10995
442	8728	10975
443	8744	10949
444	8759	10925
445	8776	10902
446	8798	10884
447	8819	10866
448	8836	10843
449	8854	10822
450	8877	10806
451	8894	10783
452	8916	10766
453	8932	10742
454	8952	10723
455	8971	10702
456	8993	10686
457	9010	10662
458	9028	10640
459	9047	10620
460	9069	10603
461	9089	10584
462	9108	10564
463	9124	10539
464	9142	10518
465	9156	10493
466	9178	10475
467	9199	10457
468	9216	10434
469	9235	10414
470	9254	10394
471	9275	10376
472	9298	10360
473	9316	10338
474	9332	10314
475	9352	10295
476	9368	10272
477	9387	10251
478	9410	10235
479	9429	10215
480	9449	10195
481	9467	10174
482	9487	10155
483	9509	10138
484	9526	10115
485	9551	10101
486	9566	10077
487	9583	10054
488	9606	10038
489	9624	10017
490	9641	9994
491	9661	9975
492	9678	9953
493	9695	9930
494	9715	9911
495	9735	9892
496	9753	9871
497	9770	9849
498	9794	9833
499	9812	9812
500	9833	9793
501	9856	9777
502	9877	9760
503	9897	9740
504	9916	9719
505	9931	9696
506	9945	9670
507	9962	9649
508	9983	9629
509	10001	9609
510	10018	9587
511	10037	9566
512	10058	9548
513	10073	9524
514	10096	9508
515	10116	9489
516	10136	9469
517	10153	9447
518	10175	9430
519	10194	9410
520	10216	9393
521	10236	9374
522	10255	9353
523	10275	9334
524	10293	9313
525	10311	9292
526	10330	9271
527	10347	9249
528	10368	9231
529	10386	9210
530	10408	9193
531	10426	9172
532	10440	9147
533	10456	9125
534	10475	9104
535	10497	9087
536	10513	9064
537	10529	9041
538	10548	9021
539	10569	9003
540	10585	8980
541	10604	8960
542	10624	8941
543	10638	8917
544	10661	8901
545	10682	8882
546	10703	8863
547	10724	8845
548	10742	8825
549	10758	8802
550	10776	8781
551	10797	8763
552	10816	8743
553	10840	8727
554	10859	8707
555	10879	8687
556	10900	8669
557	10922	8652
558	10944	8634
559	10968	8618
560	10989	8599
561	11008	8579
562	11032	8563
563	11058	8548
564	11077	8528
565	11100	8511
566	11118	8490
567	11141	8473
568	11159	8452
569	11175	8430
570	11191	8408
571	11208	8386
572	11228	8367
573	11246	8346
574	11271	8331
575	11306	8322
576	11328	8304
577	11345	8283
578	11365	8264
579	11386	8245
580	11410	8228
581	11432	8210
582	11450	8189
583	11470	8170
584	11493	8153
585	11513	8134
586	11532	8114
587	11552	8094
588	11569	8072
589	11589	8053
590	11611	8035
591	11631	8016
592	11650	7995
593	11667	7974
594	11685	7953
595	11705	7934
596	11728	7916
597	11745	7895
598	11765	7876
599	11782	7855
600	11800	7834
601	11824	7817
602	11842	7796
603	11858	7774
604	11873	7752
605	11893	7732
606	11910	7711
607	11931	7692
608	11953	7674
609	11969	7652
610	11988	7632
611	12006	7612
612	12023	7590
613	12043	7571
614	12063	7551
615	12085	7533
616	12103	7513
617	12126	7495
618	12147	7476
619	12166	7457
620	12184	7436
621	12203	7416
622	12221	7395
623	12239	7374
624	12255	7353
625	12272	7332
626	12287	7309
627	12304	7288
628	12325	7270
629	12347	7251
630	12363	7230
631	12380	7208
632	12399	7189
633	12422	7171
634	12439	7150
635	12455	7128
636	12473	7108
637	12489	7086
638	12504	7064
639	12521	7043
640	12542	7024
641	12559	7003
642	12580	6984
643	12598	6964
644	12623	6947
645	12641	6927
646	12658	6906
647	12676	6885
648	12696	6866
649	12712	6845
650	12735	6827
651	12760	6810
652	12781	6791
653	12803	6773
654	12820	6752
655	12840	6733
656	12862	6715
657	12881	6695
658	12900	6675
659	12925	6658
660	12943	6638
661	12963	6618
662	12985	6600
663	13000	6578
664	13017	6557
665	13035	6537
666	13052	6516
667	13073	6497
668	13095	6479
669	13117	6461
670	13136	6440
671	13153	6420
672	13174	6401
673	13191	6380
674	13210	6360
675	13227	6339
676	13245	6319
677	13261	6298
678	13284	6280
679	13298	6258
680	13319	6239
681	13334	6217
682	13352	6197
683	13369	6176
684	13394	6159
685	13414	6140
686	13433	6120
687	13456	6102
688	13480	6084
689	13497	6063
690	13512	6042
691	13537	6025
692	13560	6007
693	13578	5987
694	13602	5969
695	13623	5950
696	13642	5930
697	13659	5910
698	13677	5889
699	13695	5869
700	13710	5848
701	13732	5829
702	13748	5808
703	13768	5789
704	13789	5770
705	13805	5749
706	13820	5727
707	13838	5707
708	13860	5688
709	13883	5670
710	13898	5649
711	13917	5629
712	13933	5608
713	13952	5588
714	13970	5568
715	13988	5548
716	14005	5528
717	14020	5506
718	14035	5485
719	14053	5465
720	14072	5445
721	14086	5423
722	14101	5402
723	14119	5382
724	14135	5361
725	14151	5341
726	14167	5320
727	14185	5300
728	14205	5280
729	14219	5259
730	14233	5237
731	14249	5217
732	14268	5197
733	14285	5176
734	14303	5156
735	14322	5137
736	14341	5117
737	14356	5096
738	14372	5076
739	14389	5055
740	14407	5035
741	14424	5015
742	14438	4994
743	14454	4973
744	14471	4953
745	14489	4933
746	14508	4913
747	14528	4894
748	14544	4874
749	14561	4853
750	14582	4835
751	14600	4815
752	14618	4795
753	14636	4775
754	14655	4755
755	14671	4735
756	14708	4721
757	14770	4715
758	14807	4701
759	14831	4683
760	14849	4663
761	14873	4645
762	14893	4626
763	14914	4607
764	14946	4591
765	14964	4571
766	14989	4553
767	15007	4533
768	15023	4512
769	15042	4493
770	15067	4475
771	15092	4457
772	15112	4437
773	15133	4418
774	15155	4399
775	15177	4381
776	15198	4361
777	15227	4345
778	15250	4326
779	15278	4309
780	15301	4290
781	15319	4270
782	15342	4251
783	15361	4232
784	15385	4213
785	15409	4195
786	15429	4175
787	15450	4156
788	15475	4138
789	15499	4119
790	15524	4101
791	15544	4082
792	15570	4064
793	15599	4047
794	15619	4027
795	15642	4008
796	15664	3989
797	15705	3975
798	15735	3958
799	15764	3941
800	15784	3921
801	15806	3902
802	15826	3882
803	15848	3863
804	15867	3843
805	15888	3824
806	15913	3805
807	15931	3785
808	15950	3765
809	15966	3745
810	15982	3724
811	15997	3703
812	16014	3683
813	16034	3663
814	16050	3643
815	16069	3623
816	16090	3604
817	16108	3583
818	16128	3564
819	16145	3544
820	16165	3524
821	16183	3504
822	16204	3485
823	16221	3464
824	16240	3444
825	16260	3425
826	16290	3407
827	16312	3388
828	16329	3368
829	16348	3348
830	16369	3329
831	16388	3309
832	16405	3288
833	16424	3269
834	16442	3249
835	16458	3228
836	16475	3208
837	16491	3188
838	16510	3168
839	16525	3147
840	16546	3128
841	16562	3107
842	16577	3087
843	16594	3067
