iter	Passed	Remaining
405	7249	10606
406	7267	10588
407	7285	10571
408	7303	10553
409	7328	10546
410	7344	10525
411	7367	10515
412	7384	10495
413	7406	10483
414	7432	10476
415	7455	10465
416	7472	10447
417	7490	10429
418	7506	10408
419	7524	10391
420	7543	10375
421	7559	10354
422	7580	10340
423	7599	10323
424	7616	10304
425	7632	10283
426	7649	10264
427	7667	10246
428	7684	10228
429	7703	10211
430	7718	10189
431	7740	10177
432	7760	10162
433	7789	10158
434	7809	10143
435	7832	10132
436	7847	10110
437	7868	10095
438	7883	10074
439	7906	10062
440	7925	10046
441	7945	10030
442	7965	10015
443	7982	9995
444	7998	9975
445	8018	9960
446	8036	9942
447	8053	9923
448	8066	9899
449	8084	9880
450	8101	9861
451	8115	9839
452	8130	9817
453	8146	9797
454	8161	9775
455	8174	9751
456	8192	9734
457	8205	9710
458	8226	9695
459	8244	9678
460	8259	9656
461	8273	9634
462	8287	9611
463	8302	9590
464	8320	9572
465	8336	9552
466	8352	9533
467	8369	9514
468	8386	9495
469	8403	9476
470	8419	9455
471	8433	9434
472	8449	9413
473	8465	9394
474	8479	9371
475	8494	9351
476	8509	9330
477	8525	9310
478	8541	9290
479	8558	9272
480	8576	9253
481	8590	9232
482	8606	9212
483	8618	9187
484	8634	9168
485	8646	9144
486	8661	9124
487	8675	9102
488	8692	9083
489	8709	9064
490	8728	9048
491	8754	9038
492	8773	9022
493	8790	9004
494	8809	8987
495	8823	8965
496	8850	8957
497	8867	8938
498	8886	8921
499	8899	8899
500	8919	8883
501	8938	8867
502	8955	8848
503	8970	8828
504	8984	8806
505	8999	8786
506	9014	8765
507	9033	8749
508	9051	8731
509	9064	8708
510	9081	8690
511	9098	8672
512	9114	8652
513	9130	8632
514	9145	8612
515	9162	8594
516	9181	8577
517	9197	8558
518	9214	8539
519	9229	8519
520	9244	8499
521	9262	8481
522	9277	8461
523	9295	8444
524	9314	8427
525	9333	8410
526	9352	8394
527	9367	8374
528	9382	8353
529	9397	8333
530	9410	8312
531	9429	8295
532	9444	8274
533	9460	8255
534	9476	8236
535	9492	8217
536	9511	8200
537	9527	8181
538	9544	8163
539	9558	8142
540	9575	8124
541	9593	8107
542	9609	8087
543	9621	8064
544	9640	8048
545	9657	8030
546	9673	8010
547	9691	7993
548	9710	7977
549	9725	7957
550	9742	7938
551	9758	7920
552	9776	7902
553	9797	7887
554	9813	7868
555	9831	7851
556	9846	7831
557	9860	7810
558	9874	7789
559	9895	7774
560	9913	7757
561	9931	7740
562	9949	7723
563	9969	7706
564	9985	7687
565	10000	7668
566	10015	7648
567	10035	7632
568	10050	7612
569	10067	7595
570	10083	7575
571	10095	7553
572	10109	7533
573	10126	7515
574	10143	7497
575	10158	7477
576	10175	7459
577	10190	7440
578	10207	7422
579	10223	7403
580	10238	7383
581	10254	7365
582	10271	7346
583	10289	7329
584	10307	7312
585	10322	7292
586	10335	7272
587	10350	7252
588	10364	7232
589	10381	7214
590	10398	7196
591	10417	7179
592	10434	7161
593	10454	7145
594	10469	7126
595	10490	7111
596	10508	7093
597	10524	7074
598	10538	7055
599	10558	7038
600	10573	7019
601	10587	6999
602	10605	6982
603	10624	6965
604	10640	6947
605	10654	6927
606	10668	6907
607	10685	6889
